NAF,Code_NAF,Nom,Adresse_etablissement,Code_Postal,CoordonneesLambertAbscisse,coordonneesLambertOrdonnee
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ACIER VERRE ET NATURE, 2 QUAI GENERAL SARRAIL 69006 LYON,69006,843103.2632364666,6520295.1031723125
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,GEN GEM, 31 RUE BOILEAU 69006 LYON,69006,843641.17509418,6520898.625333238
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,LES FERMETURES RHODANIENNES, 7 RUE TRONCHET 69006 LYON,69006,843315.0059695586,6520559.086698786
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,UPM WOOD MATERIALS, 191 COURS LAFAYETTE 69006 LYON,69006,844459.67,6519943.21
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,LYON STRUCTURES BOIS, 23 COURS FRANKLIN ROOSEVELT 69006 LYON,69006,843470.8278398117,6520511.075951667
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,HABITAT MULTI SERVICES, 18 RUE DE GENEVE 69006 LYON,69006,844623.1723566726,6520757.740465417
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,STYLUS DECOR PLUS, 128 AVENUE THIERS 69006 LYON,69006,844653.3157769677,6520775.002304672
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ECO RENOV EL, 13 RUE DES EMERAUDES 69006 LYON,69006,844614.3382271267,6520568.582376231
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,PLATTARD CARRELAGES, 46 AVENUE MARECHAL DE SAXE 69006 LYON,69006,843350.8687860058,6520028.956905506
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,PERUGINO SERVICES, 64 RUE WALDECK ROUSSEAU 69006 LYON,69006,844407.79,6520020.08
46.73B,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de decoration,PMVA, 33 COURS FRANKLIN ROOSEVELT 69006 LYON,69006,843593.5021467323,6520520.944062462
46.73B,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de decoration,BERNARD CERAMICS, 7 PLACE MARECHAL LYAUTEY 69006 LYON,69006,843185.8109444297,6520538.852502574
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),DROGUERIE LAFAYETTE, 171 COURS LAFAYETTE 69006 LYON,69006,844247.3912375856,6519934.554989277
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),RHONE FENETRES PORTES CONFORT, 73 COURS LAFAYETTE 69006 LYON,69006,843622.3110940122,6519914.559557148
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),STOREMA, 58 RUE GARIBALDI 69006 LYON,69006,843777.070894557,6520612.664246234
