NAF,Nom,Complement_adresse,Numero_voie,Type_voie,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,CoordonneesLambertAbscisse,CoordonneesLambertOrdonnee
46.73A,MENUISERIES PRO,"",18,RUE,MARIE-MADELEINE FOURCADE,69007,LYON,842974.3011514145,6516903.348030103
46.73A,SOL MARBRE EUROPE,"",16,RUE,DE L’AVENIR,69740,GENAS,853868.0256041873,6515042.111984946
46.73A,SECURIBAT RHONE ALPES,"",41,COURS,DOCTEUR LONG,69003,LYON,846413.8900217372,6518373.842590511
46.73A,LYON PATRIMOINE IMMOBILIER,"",8,RUE,SAINT POLYCARPE,69001,LYON,842531.1434116744,6520500.170199173
46.73A,1001 PALETTES,"",24,CHE,DE LA FOUILLOUSE,69780,SAINT-PIERRE-DE-CHANDIEU,0,0
46.73A,RS PORTES,SANTICOLI  ZAC CHANTELOT,17,AVENUE,CHANTELOT,69520,GRIGNY,837861.4943080203,6502401.832719514
46.73A,[ND],[ND],[ND],[ND],[ND],[ND],LUCENAY,[ND],[ND]
46.73A,NOTHAM DISTRIBUTION,"",41,RUE,BALLAND,69120,VAULX-EN-VELIN,848270.0933654543,6521139.723518632
46.73A,MAISON BOIS ET COUVERTURE RHONE ALPES,"",40,RUE,BARON CHAURAND,69230,SAINT-GENIS-LAVAL,839909.3567483955,6511545.989326939
46.73A,LE BOIS DU MORVAN,"","","",LA FARGE,69790,PROPIERES,0,0
46.73A,PHILIPPE MATERIAUX,"",5,PLACE,CHARLES BERAUDIER,69003,LYON,844507.2989042128,6519650.636735419
46.73A,LES FERMETURES RHODANIENNES,"",7,RUE,TRONCHET,69006,LYON,843315.0059695586,6520559.086698786
46.73A,MONSIEUR FENETRES,"",161,AVENUE,FRANKLIN ROOSEVELT,69150,DECINES-CHARPIEU,850392.007408279,6518798.957560711
46.73A,DISTRIBUTION DE MATERIAUX POUR LES TRAVAUX PUBLICS - D.M.T.P,"",2,RUE,AUGUSTIN FRESNEL,69680,CHASSIEU,853144.8509063467,6515652.333870927
46.73A,ABO DISTRIBUTION,"",113,"",GRAND CHEMIN RN7,69210,LENTILLY,0,0
46.73A,DECO - PIERRE - MENUISERIE PAR ABREVIATION D.P.M,"",56,RUE,DE CHARLIEU,69240,COURS,0,0
46.73A,CFPM,"",37,QUAI,JAYR,69009,LYON,840478.3375183623,6521147.738639788
46.73A,LA PLATEFORME,"",33,RUE,SAINT SIMON,69009,LYON,839649.0054748817,6521337.4104698915
46.73A,BALMONT BOIS,ZI DU TRONCHON,7,CHEMIN,DES ANCIENNES VIGNES,69410,CHAMPAGNE-AU-MONT-D'OR,837856.8943461671,6524054.181485037
46.73A,MFCS,"",23,CHE,DES HAUTS DE SELETTES,69540,IRIGNY,0,0
46.73A,PANNEAUX BOIS SERVICES,PARC DE GENEVE,240,RUE,FERDINAND PERRIER,69800,SAINT-PRIEST,854716.6697089177,6513664.524677126
46.73A,ETABLISSEMENT NATIONAL DE L'AMELIORATION DE L'HABITAT,"",81,RUE,JABOULAY,69007,LYON,843502.914334661,6517888.532503008
46.73A,DND'PAL,ZONE INDUSTRIELLE DE L'AIGUE,32,RUE,AMPERE,69780,SAINT-PIERRE-DE-CHANDIEU,856072.2600597155,6508812.984315016
46.73A,DIP TECHNOLOGIES,PARC AKTILAND,8,RUE,DE LOMBARDIE,69800,SAINT-PRIEST,852168.1406258123,6514607.1772071
46.73A,BEAULIEU PISCINES,"",122,ROUTE,DE GRENOBLE,69800,SAINT-PRIEST,853889.522007192,6514221.502932563
46.73A,CHAUSSON MATERIAUX,ZA LES MARTINETS,1099,RUE,CLAUDE TERRASSE,69210,L'ARBRESLE,825022.9960122408,6526474.496432642
46.73A,EGE CONSTRUCTION,"",53,ROUTE,DE JONAGE,69330,PUSIGNAN,860656.2052041355,6520424.147146102
46.73A,CLEF,"",333,RUE,DU DAVID,69270,FONTAINES-SAINT-MARTIN,844130.5299178055,6529263.969955651
46.73A,VALLIANCE,"",50,CHE,LE MOULIN,69210,SAINT-PIERRE-LA-PALUD,0,0
46.73A,LMK TRADE,"",1,RUE,MARIUS BERLIET,69720,SAINT-BONNET-DE-MURE,857377.6726744482,6513386.649943792
46.73A,FEMAT CHAPONOST,"",4,ROUTE,DU DOME,69630,CHAPONOST,837257.0324667084,6512238.947310913
46.73A,M. CHARLES VCF (VRP CONSULTING FAMILY),"",14,RUE,JEANNE COLLAY,69500,BRON,848790.7091010214,6517787.499045882
46.73A,PRODISO,ZAC DES ILES,235,RUE,MARIE-PAULE RIVE,69380,MARCILLY-D'AZERGUES,833457.1250219992,6531404.207552967
46.73A,K SCHMID AG,"",10,IMPASSE,DES GLYCINES,69340,FRANCHEVILLE,837455.0265642141,6518148.883969405
46.73A,PIERRE RENAUD SAS,"",850,CHEMIN,DE BOIS MANIE,69440,TALUYERS,834896.1058866478,6506962.310464527
46.73A,PARALU DIFFUSION,ZONE INDUSTRIELLE CHASSAGNY,250,RTE,DES VARENNES,69700,BEAUVALLON,0,0
