NAF,Nom,Complement_adresse,Numero_voie,Type_voie,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,CoordonneesLambertAbscisse,CoordonneesLambertOrdonnee
46.73B,DECO DESIGN CARRELAGE,"",2,ROUTE,NATIONALE,69330,PUSIGNAN,859146.7381300977,6519885.464682212
46.73B,IC PRO DISTRIBUTION,99 A 103,99,RUE,DE GERLAND,69007,LYON,843050.914050948,6516723.293057037
46.73B,ECO ASSISTANCES,"",237,RUE,FRANCIS DE PRESSENSE,69100,VILLEURBANNE,846948.1,6520671.58
46.73B,BARAKA,"",263,RUE,DU PESSELIN,69380,CHASSELAY,837626.6799516021,6532181.62117258
46.73B,CERAMIKA DRIVE EST,"",15,RUE,JEAN CORONA,69120,VAULX-EN-VELIN,848313.5379615054,6521728.403829558
46.73B,HYDEWA FRANCE,"",5,ROUTE,DE SAINT SORLIN,69440,MORNANT,829943.77,6503689.75
46.73B,CERAMIKA DRIVE SUD,"",15,RUE,JEAN CORONA,69120,VAULX-EN-VELIN,848313.5379615054,6521728.403829558
46.73B,DPCE,"",11,RUE,JEAN HENRI DUNANT,69720,SAINT-BONNET-DE-MURE,858344.8884095006,6512353.838028948
46.73B,DECASTONE,"",158,AVENUE,FRANKLIN ROOSEVELT,69120,VAULX-EN-VELIN,850405.4201665863,6518981.464402259
46.73B,A&J CARRELAGE,"",35,RUE,DE L’INDUSTRIE,69530,BRIGNAIS,838269.8786578539,6509751.819162226
46.73B,LA CULTURA DELLE MATERIA,LIEUDIT LA CHICOTIERE,565,ROUTE,NATIONALE 6,69380,DOMMARTIN,834480.4612233095,6529017.773785224
46.73B,LPO MED,"",4,RUE,DE LA REPUBLIQUE,69001,LYON,842672.7025733468,6520239.532538083
46.73B,SOLMUR DISTRIBUTION,13/14,13,QUAI,ANDRE LASSAGNE,69001,LYON,842809.9976885028,6520640.174085095
46.73B,BERNARD CERAMICS,"",7,PLACE,MARECHAL LYAUTEY,69006,LYON,843185.8109444297,6520538.852502574
46.73B,S2C,"",6,ALLEE,JOANNES COURVOISY,69330,MEYZIEU,855556.0656913265,6521084.5404317025
46.73B,CARRELAGE DU PETIT LYON,"",52,AVENUE,FELIX FAURE,69580,SATHONAY-CAMP,845213.368583018,6526990.483901569
46.73B,B.A.T BATIMENT,"",92,AVENUE,DU DAUPHINE,69360,SEREZIN-DU-RHONE,843030.0112136164,6504921.064149936
46.73B,THEODORE MAISON DE PEINTURE,"",10,RUE,JACQUES TATI,69120,VAULX-EN-VELIN,850050.8345750303,6518672.523717263
46.73B,QRIX,"",8,CHEMIN,DES HAUTES BRUYERES,69130,ECULLY,837025.1523730194,6521236.362367769
46.73B,PIB RHONE,"",17,"",CHANTELOT,69520,GRIGNY,0,0
46.73B,ACANTHE,"",16,ALLEE,DE CHANTEVENT,69370,SAINT-DIDIER-AU-MONT-D'OR,840464.5658086591,6523554.189508088
46.73B,KEY EAST FRANCE,"",62,RUE,DE BONNEL,69003,LYON,843730.4404804292,6519706.148214384
46.73B,CENTRE EST PEINTURES DISTRIBUTION,"",15,BOULEVARD,YVES FARGE,69007,LYON,842660.7594579196,6517682.839785516
46.73B,GLOBAL DISTRI,"",16,RUE,DE SERRIERES,69540,IRIGNY,841548.7714977214,6511963.547413693
46.73B,[ND],[ND],[ND],[ND],[ND],[ND],SOLAIZE,[ND],[ND]
46.73B,VELTECHS,"",4,ALLEE,DES SAPINS,69340,FRANCHEVILLE,837017.9673792517,6517787.436355354
46.73B,PREVALECO,MR CASSABOIS,248,ALLEE,DU BOURG DES VERCHERES,69380,DOMMARTIN,832949.9046328989,6527637.231905468
46.73B,DKO INTERRUPTEUR,CENTRE D'AFFAIRES AG.SEF,92,RUE,HIPPOLYTE KAHN,69100,VILLEURBANNE,845778.0429182533,6520286.093251943
46.73B,I.MAJE,"","","",ZA DE LA RONZE,69440,TALUYERS,0,0
46.73B,DJ CONCEPT,"",62,ALLEE,DES MAGNOLIAS,69250,MONTANAY,844174.699264937,6532735.518114643
46.73B,IMEX FRANCE,"",63,RUE,ANDRE BOLLIER,69007,LYON,842439.2512170745,6516650.752864149
46.73B,ZOLPAN,"",17,RUE,DE GERLAND,69007,LYON,843124.8520929344,6517358.734408182
46.73B,COULEURS DE TOLLENS,"",79,RUE,MAGENTA,69100,VILLEURBANNE,845448.4492473989,6520218.953032967
46.73B,E.R.M,"",148,IMPASSE,DE CHAVANNE,69400,ARNAS,833365.0291857354,6547768.581080523
46.73B,STCF,"",34,RUE,LE BELVEDERE,69270,FONTAINES-SAINT-MARTIN,0,0
46.73B,ASSISTANCE CONSTRUCTION SERVICES,PARC ACTIVITE GORGE DU LOUP,24,AVENUE,JOANNES MASSET,69009,LYON,839901.777246777,6520621.374708257
46.73B,EVOLANCE,"",320,AVENUE,BERTHELOT,69008,LYON,845096.2558929853,6517022.562855256
46.73B,SUN WATER FRANCE,BUREAU 6 - 20 EME ETAGE,129,RUE,SERVIENT,69003,LYON,844088.9707284017,6519612.251075809
46.73B,AQUA NOUVELLES ENERGIES (A.N.R),"",129,RUE,DE LA REPUBLIQUE,69330,MEYZIEU,856192.8311196631,6520406.539033476
46.73B,SM NEGOCE,"",24,RUE,PAUL ET MARC BARBEZAT,69150,DECINES-CHARPIEU,850778.0811287519,6519724.210612293
46.73B,DPIB,ZONE ARTISANALE DES ANDRES,2,RUE,PRE MAGNE,69126,BRINDAS,0,0
46.73B,REALISATIONS ESTHETIQUES ET TECHNIQUES DE L ESPACE CONSTRUIT,"",64,RUE,DU DAUPHINE,69800,SAINT-PRIEST,849100.4990087751,6514487.719303038
46.74A,JL 69,"",78,ROUTE,DE GRENOBLE,69800,SAINT-PRIEST,854521.6407776579,6513935.997775708
46.74A,TRENOIS DECAMPS,"",8,AVENUE,DES FRERES MONTGOLFIER,69680,CHASSIEU,852834.7051131143,6516059.065802511
46.74A,TRENOIS DECAMPS,"",153,RUE,MARCEL MERIEUX,69007,LYON,842277.1114548831,6516981.012941129
46.74A,DISTRICLOS,"",26,RUE,AMPERE,69680,CHASSIEU,853604.6883636825,6516308.451419508
46.74A,DENUZIERE SA,"",63,AVENUE,FRANKLIN ROOSEVELT,69150,DECINES-CHARPIEU,850553.2791941582,6519778.787222055
46.74B,SAUNIER DUVAL EAU CHAUDE CHAUFFAGE,LE MERMOZ,13,RUE,COLONEL CHAMBONNET,69500,BRON,849544.1255701068,6515875.059394902
46.74B,ARISTON FRANCE,BAT. B3,10,ALLEE,IRENE JOLIOT CURIE,69800,SAINT-PRIEST,850453.009699089,6514960.267145102
46.74B,RESEAU SPECIALISTE GENIE CLIMATIQUE,"",7,RUE,DE LA GRANGE ROLLIN,69400,LIMAS,0,0
46.75Z,DIVERSEY (FRANCE) SAS,"",2,CHEMIN,DU GENIE,69200,VENISSIEUX,844817.0525406802,6514649.258048379
46.90Z,'LINEO,ZA EST,17,RUE,LOUIS SAILLANT,69120,VAULX-EN-VELIN,850707.7927168661,6521474.283008059
46.90Z,CENTRE NEGOCE SARL,LIEU-DIT MI PLAINE,94,ROUTE,DE GRENOBLE,69800,SAINT-PRIEST,854211.8201333715,6514074.844420815
46.90Z,CENTRE NEGOCE SARL,ANCIENNE ROUTE DE MACON,69,RTE,NATIONALE 6,69570,DARDILLY,0,0
47.11F,SODICHAP,PARC D'AFFAIRES DE LA VALLEE D OZON,70,AVENUE,DE CHAPONNAY,69970,CHAPONNAY,850252.292603347,6507284.850682461
47.19A,B&M FRANCE SAS,"",139,RTE,NATIONAL 6,69720,SAINT-BONNET-DE-MURE,0,0
47.52A,PP2M,"",22,AVENUE,VICTOR HUGO,69160,TASSIN-LA-DEMI-LUNE,838708.280188053,6520172.284733998
47.52A,EUR'EAU,"",1,RUE,DE LA MANUFACTURE BAVEREY,69540,IRIGNY,0,0
47.52A,RESSOURCE MARCHAND DE COULEURS DECORATION,"",16,RUE,AUGUSTE COMTE,69002,LYON,842354.1390075062,6518958.370420472
47.52A,TOUT POUR L'EAU,RN 6,"","",FAVIERES,69380,LISSIEU,0,0
47.52A,GROUPE WATERAIR,ZAC GRANDES TERRES,"",RUE,ANTOINE PINAY,69740,GENAS,854251.6719215029,6516527.849415338
47.52A,GP - 23,BAT 2 LOT 2B14,1,RUE,DES VERGERS,69760,LIMONEST,837574.3820639437,6524571.349449382
47.52A,FARROW AND BALL LIMITED,"",24,COURS,DE LA LIBERTE,69003,LYON,843172.579239123,6519526.706558527
47.52A,FERMETURE ECON'HOME,ZAC DE CLAPELOUP,1,RUE,DES FRENES,69280,SAINTE-CONSORCE,832453.8303209787,6520470.495531218
47.52A,FERMETURE ECON'HOME,"",209,RUE,DE LA REPUBLIQUE,69400,VILLEFRANCHE-SUR-SAONE,832888.084422416,6544466.0960053215
47.52A,FERMETURE ECON'HOME,"",37,AVENUE,DU 8 MAI 1945,69120,VAULX-EN-VELIN,848063.172589814,6522778.310786827
47.52A,LA DROGUERIE,"",137,BOULEVARD,DE LA CROIX-ROUSSE,69004,LYON,842058.2404471035,6521081.816583618
47.52A,MISTERPISCINES,RN6,1460,ROUTE,D’ANSE,69400,LIMAS,832891.509463927,6542128.563908188
47.52A,MISTERPISCINES,"",21,RUE,DE L’INDUSTRIE,69530,BRIGNAIS,838025.688545445,6509706.008365332
47.52A,TERREAUX BRICOLAGE,"",24,RUE,LANTERNE,69001,LYON,842370.3598933695,6520112.4310520915
47.52A,TERREAUX BRICOLAGE,"",14,RUE,DE LA PLATIERE,69001,LYON,842378.2677148468,6520136.830144728
47.52A,CHUZEVILLE MATERIAUX,ZONE INDUSTRIELLE,"","",LES GRANGES 2,69240,THIZY-LES-BOURGS,0,0
47.52A,DROGUERIE LAFAYETTE,"",171,COURS,LAFAYETTE,69006,LYON,844247.3912375856,6519934.554989277
47.52A,DROGUERIE CHAMPAGNE,"",2,CHEMIN,DU TRONCHON,69410,CHAMPAGNE-AU-MONT-D'OR,838512.9873120523,6524040.753606117
47.52A,CLOTURES ET VOUS,"",625,RUE,GUSTAVE EIFFEL,69330,MEYZIEU,857740.7112518994,6522344.959084295
47.52A,NOUVELLE DROGUERIE CALADOISE,"",65,RUE,DE LA BARMONDIERE,69400,VILLEFRANCHE-SUR-SAONE,832848.7041957378,6544756.704771231
47.52A,MULTIBAIE,"",175,ROUTE,NATIONALE 6,69720,SAINT-BONNET-DE-MURE,856345.5954414858,6513079.019746709
47.52A,DROGUERIE LUMIERE,"",11,RUE,ANTOINE LUMIERE,69008,LYON,845376.1589735384,6517638.470540954
47.52A,ID'RENO,"",2871,AVENUE,DE L'EUROPE,69140,RILLIEUX-LA-PAPE,848704.95,6526566.56
47.52A,RHONE FENETRES PORTES CONFORT,"",73,COURS,LAFAYETTE,69006,LYON,843622.3110940122,6519914.559557148
47.52A,LES ARTISANS DU STORE,"",35,RUE,DES MARTINETS,69210,L'ARBRESLE,824732.4102600702,6526337.509175161
47.52A,BE.A.BA.,"",49,"",GRANDE RUE,69850,SAINT-MARTIN-EN-HAUT,821708.0658807103,6507832.958832881
47.52A,BE.A.BA.,"",70,"",GRANDE RUE,69590,SAINT-SYMPHORIEN-SUR-COISE,813435.3381989006,6504706.055652828
47.52A,IPM,"",2,CHEMIN,DU VIEUX MOULIN,69160,TASSIN-LA-DEMI-LUNE,838350.43905789,6520106.888428215
47.52A,CHEVALIER FRERES,"",54,RUE,PAUL VERLAINE,69100,VILLEURBANNE,846144.1406749452,6519972.553067134
47.52A,CHEVALIER FRERES,"",28,RUE,SERVIENT,69003,LYON,843282.1546863486,6519489.052889453
47.52A,STOREMA,"",58,RUE,GARIBALDI,69006,LYON,843777.070894557,6520612.664246234
47.52A,CP LYON EST,"",153,AVENUE,CHARLES DE GAULLE,69720,SAINT-BONNET-DE-MURE,856571.0529686236,6512986.227988935
47.52A,PRO CONCEPT 5 SERVICES,"",30,QUAI,ARLOING,69009,LYON,840778.5130833656,6520691.083153905
47.52A,DROGUERIE CHARLEMAGNE,"",38,COURS,CHARLEMAGNE,69002,LYON,841761.4896807594,6517910.49159863
47.52A,DECIBOIS,"",10,CHEMIN,DE PEYSSILIEU,69330,MEYZIEU,854348.3914918315,6520695.339396759
47.52A,LACOMBE DEMORE MOTOCULTURE,ZA LA GAITE,13,ROUTE,DE CUBLIZE,69550,AMPLEPUIS,803621.0451194628,6543478.956173211
47.52A,1001 LYON NORD,"",93,RUE,PASTEUR,69300,CALUIRE-ET-CUIRE,843280.8567884687,6523215.124622642
47.52A,M2BY SAONE,RN 6,296,ALLEE,DE VIADOREE,69480,ANSE,832856.0356876185,6541294.274588246
47.52A,THERMAE,ZONE ARTISANALE,"","",CLAPE LOUP,69280,SAINTE-CONSORCE,832659.7027812996,6520238.794509532
47.52A,DROGUERIE TASSIN,5 E,"",PROMENADE,DES TUILERIES,69160,TASSIN-LA-DEMI-LUNE,838230.6030966335,6519687.530131251
47.52A,CHASSIS CROISEES RHONE,"",5,AVENUE,BERTHELOT,69007,LYON,842622.6774749983,6518110.060564297
47.52A,HARMONIE FENETRES,"",54,RUE,MARIETTON,69009,LYON,839997.9619691741,6521178.856119144
47.52A,IDS RHONE ALPES,10 RESIDENCE DES EPINETTES,"",CHEMIN,DES EPINETTES,69580,SATHONAY-VILLAGE,845442.2656802193,6528009.643940278
47.52A,JIMBERT,"",100,RUE,DE L'INDUSTRIE,69800,SAINT-PRIEST,849665.72,6512151.82
47.52A,SOCIETE NOUVELLE CHEMINEES DECOBAT,"",31,AVENUE,DE LANESSAN,69410,CHAMPAGNE-AU-MONT-D'OR,839312.6497235533,6523179.677687702
47.52A,RHONE FIXATIONS,"",14,RUE,DOUAUMONT,69100,VILLEURBANNE,847543.0900679628,6522023.521232372
47.52A,ETABLISSEMENTS JEAN THOLLOT ET FILS,"",129,AVENUE,THIERS,69006,LYON,844688.8569113873,6520537.01487488
47.52A,POLY COUTELIER-ORFEVRE,"",22,GRANDE RUE,DE VAISE,69009,LYON,840430.917051674,6521022.354558231
47.52A,POLY COUTELIER-ORFEVRE,"",20,COURS,FRANKLIN ROOSEVELT,69006,LYON,843398.7305626895,6520455.960348379
47.52A,O CARRE SPA,"",381,RUE,CAPITAINE FRANCOIS GARBIT,69440,MORNANT,832968.9258601528,6503742.174301637
47.52A,PISCINES PLAISIR LYON RIVE GAUCHE,81-83-PARC LES RIVOLLES,81,RUE,ELISEE RECLUS,69150,DECINES-CHARPIEU,850538.6694477432,6518215.695135138
47.52A,PISCINES PLAISIR LYON RIVE GAUCHE,"",38,ALLEE,DES PLATANES,69500,BRON,846945.6219093229,6515789.213219942
47.52A,V.O.S OUTILLAGES ET EQUIPEMENTS,"",104,ROUTE,DES MONTS DU LYONNAIS,69510,MESSIMY,829882.8703614078,6510866.667791475
47.52A,GROUPE LLP PRODUCTION,"",3,BOULEVARD,DE LA CROIX-ROUSSE,69004,LYON,841148.72,6520818.0
47.52A,VIENNE STORES,"",44,ROUTE,DEPARTEMENTALE 386,69560,SAINT-ROMAIN-EN-GAL,845726.9119676515,6493667.841451745
47.52A,TRAMTECH SERVICES,"",7,AVENUE,BERTHELOT,69007,LYON,842641.0590684335,6518102.156674349
47.52A,AGENCE JM,"",14,RUE,DE BOURGOGNE,69220,BELLEVILLE-EN-BEAUJOLAIS,0,0
47.52A,AGENCE JM,"",85,RUE,DES ALIZES,69220,TAPONAS,835836.3005799607,6560553.708858783
47.52A,DEPOT BY CARROSS,"",16,RUE,DE SERRIERES,69540,IRIGNY,841548.7714977214,6511963.547413693
47.52A,BRUNO BRICO,"",3,ROUTE,DE CUBLIZE,69550,AMPLEPUIS,803423.1025333306,6543343.879033305
47.52A,TCP MENUISERIES,"",20,AVENUE,DU CHAMP DE MARS,69360,SAINT-SYMPHORIEN-D'OZON,844741.6761590464,6505645.263817021
47.52A,AQUAECULLY,"",62,AV,PAUL SANTY,69130,ECULLY,0,0
47.52A,FRANCE CLOTURE CONSEIL,"",205,AVENUE,FRANKLIN ROOSEVELT,69150,DECINES-CHARPIEU,850314.2228365988,6518323.499888297
47.52A,UNIVERS PISCINES,"",9,RUE,PASTEUR,69720,SAINT-BONNET-DE-MURE,856664.26,6513055.15
47.52A,AQUARAPH,"",114,AVENUE,DE L'AN 2000,69290,CRAPONNE,835223.9687894859,6518031.8985091755
47.52A,ITALIAN CASA,"",128,RUE,BOSSUET,69006,LYON,844274.4105832735,6520441.9440500075
47.52A,TECHNIPROFERM,"",50,RUE,DU SOUVENIR,69009,LYON,839617.614160987,6521142.306792193
47.52A,GREENCOOL,"",40,RUE,DES REMPARTS D'AINAY,69002,LYON,842417.8628736302,6518628.272878622
47.52A,EXPERTISE MENUISERIES,"",12,RUE,MARIETTON,69009,LYON,840373.7480813854,6521115.686138023
47.52A,ITALIAN CASA,"",40,RUE,DE VERDUN,69290,CRAPONNE,0,0
47.52A,RENEGAT,"",6,QUAI,DE LA PECHERIE,69001,LYON,842301.5855999625,6520124.609576341
47.52A,PISCIN'ATTITUDE,"",19,RUE,GABRIEL VOISIN,69220,BELLEVILLE-EN-BEAUJOLAIS,0,0
47.52A,EAU PLAISIR,"",132,AVENUE,CHARLES DE GAULLE,69720,SAINT-BONNET-DE-MURE,856826.8991773853,6512892.553774507
47.52A,1001 FENETRES,CC DE SAYTHE,60,RUE,DE L'EGALITE,69800,SAINT-PRIEST,851497.1364068954,6511727.926341699
47.52A,BRIC A DROG,"",13,RUE,DE MARSEILLE,69007,LYON,843146.1588587175,6518766.073527877
47.52A,STORES,ACTIPARK DE LA RICHASSIERE - BATIMENT,662,RUE,DES JONCHERES,69730,GENAY,841178.1189276947,6534773.321170515
47.52A,POUFFIER MOTOCULTURE,"",97,RUE,DU BOURBONNAIS,69009,LYON,839436.5180552554,6520909.253094499
47.52A,STORES RHODANIENS,BP 2597,3,COURS,CHARLEMAGNE,69002,LYON,841876.5850184461,6518048.669324293
47.52A,QUINCAILLERIE BLONDET,"",7,PLACE,DE LA CROIX-ROUSSE,69004,LYON,842364.6728643118,6521225.105217247
47.52A,MYA,"",54,RUE,CRILLON,69006,LYON,843833.4431717412,6520708.29363517
47.52A,RK-PISCINES,"",50,AVENUE,DU PROGRES,69680,CHASSIEU,852726.3460817711,6516511.819420171
47.52A,ETABLISSEMENT TOUSSAINT,"",15,RUE,CARNOT,69190,SAINT-FONS,844431.7905448328,6513772.635514225
47.52A,ETABLISSEMENT TOUSSAINT,"",10,RUE,CARNOT,69190,SAINT-FONS,844426.2315698756,6513757.508737451
47.52A,KAYA FACADES,"",1,RUE,DE BOURGOGNE,69330,MEYZIEU,856200.8330160048,6520186.901994104
47.52A,[ND],[ND],[ND],[ND],[ND],[ND],LYON,[ND],[ND]
47.52A,VEDIS ISOLATION,"",346,AVENUE,CHARLES DE GAULLE,69200,VENISSIEUX,846915.0313230532,6515015.899862625
47.52A,LA PISCINADE,"",37,ROUTE,DE LYON,69530,ORLIENAS,836269.7569733192,6507506.451905602
47.52A,WELVAERE FRANCE,BATIMENT H,662,RUE,DES JONCHERES,69730,GENAY,841178.1189276947,6534773.321170515
47.52A,LES SOLS PARFAITS,"",12,CHEMIN,DU CHANAY,69720,SAINT-BONNET-DE-MURE,857268.0406342665,6512907.720269451
47.52A,LES PISCINES CALADOISES,"",2125,ROUTE,DE VILLEFRANCHE,69480,ANSE,832804.8354785647,6539841.94784612
47.52A,CAUCHI DESIGN 69,"",31,RUE,MALESHERBES,69006,LYON,843184.6904697099,6520683.453834767
47.52A,L VERANDA,"",22,CHEMIN,DES RONZIERES,69390,VOURLES,837077.7170901033,6508383.944043373
47.52A,LE STORE LYONNAIS,"",57,PLACE,DE LA REPUBLIQUE,69002,LYON,842691.4051268423,6519478.7304915665
47.52A,LYON FENETRES,"",14,RUE,CHAMP DOLIN,69800,SAINT-PRIEST,852978.4371901886,6514346.151411176
47.52A,CASABATI,"",12,RUE,DE LA PART-DIEU,69003,LYON,843163.7591815542,6519391.537285264
47.52A,FLOMAXALE,"",144,PL,DU 11 NOVEMBRE 1918,69390,VERNAISON,0,0
47.52A,HOME CLOTURES DU RHONE,LIEUX DIT LES TACHES,38,ROUTE,D'HEYRIEUX,69780,MIONS,853086.0193264597,6510527.481746875
47.52A,HOME CLOTURES DU RHONE,BAT MBE170,12,RUE,JACQUARD,69680,CHASSIEU,852968.4820070348,6516354.219042869
47.52A,CUBINOX,"","","",LA TONNELIERE,69620,LE BREUIL,0,0
47.52A,SEYAR,31-33,31,RUE,BOILEAU,69006,LYON,843641.17509418,6520898.625333238
47.52A,ISOA SHOP,"",8,CHEMIN,BECKENSTEINER,69260,CHARBONNIERES-LES-BAINS,835621.6819395607,6521499.085348217
47.52A,DROGUERIE QUINCAILLERIE HENRI IV,"",5,RUE,HENRI IV,69002,LYON,842100.5890319942,6518641.9125132635
47.52A,THERMAE,"",2,CHEMIN,DU VIEUX MOULIN,69160,TASSIN-LA-DEMI-LUNE,838350.43905789,6520106.888428215
47.52A,EURL MAWINDO,"",77,AVENUE,PAUL DELORME,69580,SATHONAY-CAMP,844875.4872093238,6525912.438810482
47.52A,VIAL RESEAU,"",212,ROUTE,DE GRENOBLE,69800,SAINT-PRIEST,852631.0462763396,6514793.51348344
47.52A,N2L PAINT,"",20,RUE,DES AQUEDUCS,69290,CRAPONNE,835227.6827905688,6518078.6330359075
47.52A,C P S G,"",7,AVENUE,EDOUARD HERRIOT,69170,TARARE,811791.6832774634,6533465.357915867
47.52A,TECHNI PLOMBERIE,"",83,AVENUE,JEAN JAURES,69190,SAINT-FONS,844330.9883450377,6513909.229251517
47.52A,EURL MARIE SAIKI,"",103,RUE,CORLIN,69400,VILLEFRANCHE-SUR-SAONE,832960.8150801482,6544674.946977044
47.52A,TERNAY BAINS,"",45,ROUTE,DE GIVORS,69360,TERNAY,841044.9942181972,6503201.009235816
47.52A,LES HALLES DE L'ENERGIE,"",6,RUE,SAINT NESTOR,69008,LYON,844884.0737700899,6517714.0346470475
47.52A,LOREN-ATRES,PARC CHAVANNES PARC ACTIVITE 4,113,IMPASSE,DE CHAVANNE,69400,ARNAS,833328.3527789441,6547807.323724838
47.52A,CHALLENGE INVEST,"",27,RUE,MAURICE FLANDIN,69003,LYON,844826.4431133934,6519608.729785761
47.52A,LOREN-ATRES,"",132,ROUTE,NATIONALE 6,69720,SAINT-BONNET-DE-MURE,856826.8991773853,6512892.553774507
47.52A,OCCAS ALIMENTAIRE,"",6,CHEMIN,DU CHANAY,69720,SAINT-BONNET-DE-MURE,857377.2046626698,6512800.317094123
47.52A,EDEN PISCINES,"",69,RTE,NATIONALE 6,69570,DARDILLY,0,0
47.52A,QUALIT'ISOL,"",63,RUE,ANDRE BOLLIER,69007,LYON,842439.2512170745,6516650.752864149
47.52A,BE.A.BA.,"","",PLACE,DE L'EGLISE,69930,SAINT-LAURENT-DE-CHAMOUSSET,813871.4911515118,6516401.0583748035
47.52A,SARL CHIGNET-BOGNEAUX,"",7,RUE,GEORGES CLEMENCEAU,69240,COURS,0,0
47.52A,SARL CHIGNET-BOGNEAUX,"",4,RUE,DU COMMERCE,69240,COURS,0,0
47.52A,TERRABRIS,LES CONFLES,69,RTE,NATIONALE 6,69570,DARDILLY,0,0
47.52A,FL COATINGS,"","","",ZONE D'ACTIVITES DE BELLEVUE,69610,SOUZY,0,0
47.52A,RHONE FENETRES PORTES CONFORT,"",8,RUE,DE NUITS,69004,LYON,842580.717657692,6521471.057021255
47.52A,APS'EAU,105SUD,105,RTE,NATIONALE 6,69380,LISSIEU,0,0
47.52A,DEKORA,"",9,RUE,BALZAC,69150,DECINES CHARPIEU,0,0
47.52A,DROGUERIE OULLINS,"",140,"",GRANDE RUE,69310,OULLINS-PIERRE-BENITE,0,0
47.52A,LA MATENZO,RESIDENCE LES PORTES DE LA SOIE  22A,"",RUE,DU CIMETIERE,69100,VILLEURBANNE,848515.1561375717,6520209.774667995
47.52A,L.D. PISCINE ASSISTANCE,"",21,RUE,OSCAR GALLINE,69580,SATHONAY-VILLAGE,846053.3355590205,6527921.649826253
47.52A,JPH PISCINES,"",387,BOULEVARD,ANTONIN LASSALLE,69400,VILLEFRANCHE-SUR-SAONE,833233.4300139764,6543773.054441027
47.52A,ERGC,ALLEE B,33,RUE,DE LA REPUBLIQUE,69002,LYON,842686.0861748456,6519801.074500248
47.52A,ALYMED,"",107,AVENUE,MARECHAL DE SAXE,69003,LYON,843486.1882112629,6519395.402652104
47.52A,TERNAY SOLS,"",45,ROUTE,DE GIVORS,69360,TERNAY,841044.9942181972,6503201.009235816
47.52A,MISTERPISCINES,"",29,RUE,AMPERE,69680,CHASSIEU,853648.9845959584,6516416.091150245
47.52A,CDB LYON NORD,"",29,RUE,DE BOURGOGNE,69009,LYON,840085.217267062,6521411.782727064
47.52A,DECOR',"",24,RUE,DE LA MOUCHE,69540,IRIGNY,841768.1529602362,6511898.958143413
47.52A,HOME CONCEPT,"",97,AVENUE,FELIX FAURE,69003,LYON,844474.567839766,6518818.308949758
47.52A,FRANCE MENUISERIE ISOLATION,"",52,RUE,PAUL VERLAINE,69100,VILLEURBANNE,846142.7857514882,6519983.740107574
47.52A,ETABLISSEMENTS HUMBERT,BELLEVILLE,34,AV,DE VERDUN,69220,BELLEVILLE-EN-BEAUJOLAIS,0,0
47.52A,BATI-HARMONIE,"",226,RUE,DU GENERAL DE GAULLE,69530,BRIGNAIS,836411.2277528017,6508769.890752302
47.52A,CONFORT HABITAT PLUS,BUREAU CREQUI,131,RUE,DE CREQUI,69006,LYON,843516.0149687692,6520161.2274217745
47.52A,FLAM'CONCEPT,"",18,RUE,DES REMPARTS D'AINAY,69002,LYON,842237.7105464,6518694.408903981
47.52A,EPFRD EQUIPEMENTS DE PREVENTION CONTRE LE FEU ET RISQUES DIVERS,"",120,RUE,CHALLEMEL LACOUR,69007,LYON,843562.5786361981,6516085.300318661
47.52A,ISO DE REV,"",63,RUE,ANDRE BOLLIER,69007,LYON,842439.2512170745,6516650.752864149
47.52A,THERMO-CONCEPT 69,"","",RUE,DES VERGERS,69120,VAULX-EN-VELIN,848397.7656011786,6522516.57683467
47.52A,F.B.S.,"",59,CHEMIN,DU MOULIN CARRON,69570,DARDILLY,837310.7563442492,6524077.249851362
47.52A,SIAM,"",79,"",GRANDE RUE,69780,TOUSSIEU,854359.5555245487,6507986.464361094
47.52A,AQUA SERVICES EURL,"",17,ROUTE,DE PUSIGNAN,69330,JONS,861834.2663728669,6523874.773239141
47.52A,AIGUE PEINTURES REVETEMENTS,"",13,RUE,DE L’AIGUE,69780,SAINT-PIERRE-DE-CHANDIEU,856230.8097800685,6508906.65963328
47.52B,LEROY MERLIN FRANCE,ODYSSEY,1,RUE,SIMONE VEIL,69200,VENISSIEUX,846195.0841051416,6514792.325776297
47.52B,CASTORAMA FRANCE,AERODROME DE LYON,"",AV,LOUIS MOUILLARD,69500,BRON,0,0
47.52B,CASTORAMA FRANCE,"",58,RUE,PASTEUR,69780,SAINT-PIERRE-DE-CHANDIEU,853827.7112184876,6509638.984244083
47.52B,CASTORAMA FRANCE,ROND POINT DE VANCIA,"","",CHP DU ROI,69140,RILLIEUX LA PAPE,0,0
47.52B,HABITAT HORIZON,"",140,RUE,DES CHANTIERS DU BEAUJOLAIS,69400,LIMAS,833031.020137119,6543359.661233534
47.52B,CASTORAMA FRANCE,CENTRE COMMERCIAL LES 2 VA,"","",PLAINE DU GIER,69700,GIVORS,0,0
47.52B,CASTORAMA FRANCE,PARC D'AFFAIRES,"",ROUTE,DU PAISY,69570,DARDILLY,837257.4039533952,6524385.186564329
47.52B,HABITAT HORIZON,LA PLAINE,"",AVENUE,CHARLES DE GAULLE,69720,SAINT-BONNET-DE-MURE,857363.2755297774,6512651.213803791
47.52B,LEROY MERLIN FRANCE,"","","",LES SEPT CHEMINS,69390,VOURLES,0,0
