NAF,Code_NAF,Nom,Adresse_etablissement,Code_Postal,CoordonneesLambertAbscisse,coordonneesLambertOrdonnee,gps_lon,gps_lat
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,VERANTECH FRANCE, 105 AVENUE PAUL MARCELLIN 69120 VAULX-EN-VELIN,69120,850037.5986040557,6521614.037879829,"4,931037","45,777628"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,NOTHAM DISTRIBUTION, 41 RUE BALLAND 69120 VAULX-EN-VELIN,69120,848270.0933654543,6521139.723518632,"4,90815","45,773745"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,GLOBALIS COMPETENCES, 12 RUE FULGENCIO GIMENEZ 69120 VAULX-EN-VELIN,69120,849390.4478817484,6518729.949992824,"4,921808","45,751807"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,CIFFREO & BONA, 3 RUE DES ALPES 69120 VAULX-EN-VELIN,69120,850509.9132653025,6521951.640880099,"4,93722","45,780563"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,MZ EMBALLAGES, 4 CHEMIN MAURICE FERREOL 69120 VAULX-EN-VELIN,69120,848919.2476536597,6522618.861235644,"4,916963","45,786919"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,HK TRANSIT, 12 CHEMIN MAURICE FERREOL 69120 VAULX-EN-VELIN,69120,848879.3133900808,6522608.782856678,"4,916446","45,786837"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,MONSIEUR FENETRES, 98 RUE ALEXANDRE DUMAS 69120 VAULX-EN-VELIN,69120,850076.837267594,6518932.0965435505,"4,930698","45,753476"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,CTC RHONE ALPES, 27 AVENUE PABLO PICASSO 69120 VAULX-EN-VELIN,69120,849073.1486465835,6521274.712824535,"4,918523","45,774785"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,BMVA, 66 AVENUE DU 8 MAI 1945 69120 VAULX-EN-VELIN,69120,848349.7098698879,6522787.568014862,"4,909687","45,788562"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,LA PLATEFORME, 23 RUE MARIUS GROSSO 69120 VAULX-EN-VELIN,69120,850462.0261825876,6520059.813572196,"4,936007","45,763543"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ETS A BERNOUX, 14 RUE FULGENCIO GIMENEZ 69120 VAULX-EN-VELIN,69120,849429.3884632807,6518727.56553515,"4,922308","45,751777"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,SAS BADOSA MATERIAUX, 10 CHEMIN DES PLATES 69120 VAULX-EN-VELIN,69120,848933.9799478804,6521992.930565448,"4,916957","45,781281"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ITEX MATERIAUX, 36 RUE LOUIS SAILLANT 69120 VAULX-EN-VELIN,69120,850950.9367982636,6521824.845231168,"4,942854","45,779324"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,EUROPA TRANSIT, 12 CHEMIN MAURICE FERREOL 69120 VAULX-EN-VELIN,69120,848879.3133900808,6522608.782856678,"4,916446","45,786837"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,P. BILLAT, 160 AVENUE MARCEL CACHIN 69120 VAULX-EN-VELIN,69120,850609.4625523284,6522234.016612509,"4,93859","45,783083"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ISOFULL,LA TOUR 15 AVENUE GEORGES ROUGE 69120 VAULX-EN-VELIN,69120,849196.8513690614,6522471.7574930675,"4,920489","45,785534"
